statusId | label
8|climbing
statusId|sensorName|value|timestamp
8|3-axis Accelerometer|[-0.30645782,9.696517,3.86903]|1525758733491
8|3-axis Accelerometer|[-0.7230489,9.404425,3.6152446]|1525758733506
8|3-axis Uncalibrated Gyroscope|[-0.26312834,-0.58378273,0.036220096,0.009587673,-0.0031958907,0.0021305939]|1525758733506
8|3-axis Gyroscope|[-0.27271602,-0.58058685,0.034089502]|1525758733505
8|Game Rotation Vector|[0.278404,0.8182109,0.38948643,0.31831187]|1525758733506
8|Linear Acceleration|[2.2584014,1.4159007,8.459295]|1525758733506
8|Gravity|[-2.9814503,7.988524,-4.844051]|1525758733506
8|3-axis Uncalibrated Gyroscope|[-0.22264706,-0.46979594,0.32278496,0.009587673,-0.0031958907,0.0021305939]|1525758733511
8|3-axis Gyroscope|[-0.23223473,-0.46660006,0.3206544]|1525758733510
8|Game Rotation Vector|[0.27930936,0.81740683,0.38988277,0.3190982]|1525758733511
8|Linear Acceleration|[2.256901,1.4057288,8.443406]|1525758733511
8|Gravity|[-2.97995,7.998696,-4.8281617]|1525758733511
8|3-axis Accelerometer|[-0.9672575,8.872911,3.514688]|1525758733516
8|3-axis Uncalibrated Gyroscope|[-0.2119941,-0.46660006,0.31958908,0.009587673,-0.0031958907,0.0021305939]|1525758733515
8|3-axis Gyroscope|[-0.22158176,-0.46340418,0.31745848]|1525758733516
8|Game Rotation Vector|[0.2802299,0.816601,0.39026365,0.31988776]|1525758733516
8|Linear Acceleration|[2.0111618,0.8641758,8.3271265]|1525758733515
8|Gravity|[-2.9784193,8.008736,-4.8124385]|1525758733516
8|3-axis Uncalibrated Gyroscope|[-0.175774,-0.44209823,0.312132,0.009587673,-0.0031958907,0.0021305939]|1525758733521
8|3-axis Gyroscope|[-0.18536167,-0.43890235,0.3100014]|1525758733520
8|Game Rotation Vector|[0.2810882,0.8158958,0.39056316,0.32056782]|1525758733520
8|Linear Acceleration|[2.0093992,0.85564613,8.313997]|1525758733520
8|Gravity|[-2.9766567,8.017265,-4.7993093]|1525758733521
8|3-axis Accelerometer|[-1.0295067,8.6095495,3.2752678]|1525758733526
8|3-axis Uncalibrated Gyroscope|[-0.120378554,-0.40800872,0.2844343,0.009587673,-0.0031958907,0.0021305939]|1525758733526
8|3-axis Gyroscope|[-0.12996623,-0.40481284,0.2823037]|1525758733525
8|Game Rotation Vector|[0.28198802,0.81522053,0.3907776,0.32123342]|1525758733525
8|Linear Acceleration|[1.9454684,0.5846901,8.062912]|1525758733526
8|Gravity|[-2.974975,8.024859,-4.787644]|1525758733525
8|3-axis Uncalibrated Gyroscope|[-0.06604841,-0.37604982,0.25034478,0.009587673,-0.0031958907,0.0021305939]|1525758733531
8|3-axis Gyroscope|[-0.07563608,-0.37285393,0.24821419]|1525758733531
8|Game Rotation Vector|[0.28241342,0.81400293,0.39238167,0.3219915]|1525758733531
8|Linear Acceleration|[1.9377539,0.5615349,8.028709]|1525758733530
8|Gravity|[-2.9672606,8.048015,-4.753442]|1525758733530
8|3-axis Accelerometer|[-0.94810385,8.643068,3.4763808]|1525758733536
8|3-axis Uncalibrated Gyroscope|[-0.01384886,-0.351548,0.23543063,0.009587673,-0.0031958907,0.0021305939]|1525758733536
8|3-axis Gyroscope|[-0.023436533,-0.3483521,0.23330003]|1525758733536
8|Game Rotation Vector|[0.2828483,0.8128533,0.3938745,0.32269067]|1525758733535
8|Linear Acceleration|[2.011414,0.5734768,8.197962]|1525758733536
8|Gravity|[-2.959518,8.0695915,-4.7215805]|1525758733536
8|3-axis Uncalibrated Gyroscope|[0.034089502,-0.33343795,0.22371235,0.009587673,-0.0031958907,0.0021305939]|1525758733540
8|3-axis Gyroscope|[0.02450183,-0.33024204,0.22158176]|1525758733540
8|Game Rotation Vector|[0.2832522,0.811789,0.39526576,0.3233138]|1525758733541
8|Linear Acceleration|[2.0037503,0.5535288,8.168533]|1525758733541
8|Gravity|[-2.9518542,8.08954,-4.692152]|1525758733540
8|3-axis Accelerometer|[-1.115698,8.619126,3.5051112]|1525758733545
